Gene_ID	Gene_names	Otholog	Molecular_function	Biological_process	Cellular_component
HUMAN|HGNC=19341|UniProtKB=Q8IU85	CAMK1D	Calcium/calmodulin-dependent protein kinase type 1D;CAMK1D;ortholog	protein kinase activity(GO:0003824);calcium ion binding(GO:0016740);calmodulin binding(GO:0016301)	protein phosphorylation(GO:0008152)	cytoplasm(GO:0044464)
HUMAN|HGNC=24236|UniProtKB=Q8IX12	CCAR1	Cell division cycle and apoptosis regulator protein 1;CCAR1;ortholog	calcium ion binding(GO:0005488);calmodulin binding(GO:0005509)		
HUMAN|HGNC=6389|UniProtKB=Q9BW19	KIFC1	Kinesin-like protein KIFC1;KIFC1;ortholog	motor activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cellular component movement(GO:0044238)	protein complex(GO:0032991);cytoskeleton(GO:0043234);intracellular(GO:0043226)
HUMAN|HGNC=25461|UniProtKB=Q9BZE2	PUS3	tRNA pseudouridine(38/39) synthase;PUS3;ortholog	lyase activity(GO:0003824)	tRNA metabolic process(GO:0008152)	
HUMAN|HGNC=24644|UniProtKB=Q9UPR3	SMG5	Protein SMG5;SMG5;ortholog			
HUMAN|HGNC=8088|UniProtKB=Q9Y6K5	OAS3	2'-5'-oligoadenylate synthase 3;OAS3;ortholog	nucleotidyltransferase activity(GO:0003824);nucleic acid binding(GO:0016740)	response to interferon-gamma(GO:0002376);nucleobase-containing compound metabolic process(GO:0006955);response to stimulus(GO:0034341)	
HUMAN|HGNC=4616|UniProtKB=P49840	GSK3A	Glycogen synthase kinase-3 alpha;GSK3A;ortholog	protein kinase activity(GO:0003824)	glycogen metabolic process(GO:0008152);protein phosphorylation(GO:0044238);mitosis(GO:0005975);cell communication(GO:0005976);segment specification(GO:0005977);segment specification(GO:0019538);ectoderm development(GO:0006464);mesoderm development(GO:0006468);embryo development(GO:0009987);nervous system development(GO:0007049)	
HUMAN|HGNC=24555|UniProtKB=Q8N201	INTS1	Integrator complex subunit 1;INTS1;ortholog			
HUMAN|HGNC=18587|UniProtKB=O94901	SUN1	SUN domain-containing protein 1;SUN1;ortholog		cellular process(GO:0009987);protein localization(GO:0051179);biological regulation(GO:0008104);cytoskeleton organization(GO:0065007)	nucleus(GO:0043226);intracellular(GO:0005634)
HUMAN|HGNC=9343|UniProtKB=Q92733	PRCC	Proline-rich protein PRCC;PRCC;ortholog			
HUMAN|HGNC=28460|UniProtKB=Q8N3J3	C17orf53	Uncharacterized protein C17orf53;C17orf53;ortholog			
HUMAN|HGNC=9227|UniProtKB=Q9NQ55	PPAN	Suppressor of SWI4 1 homolog;PPAN;ortholog		mRNA splicing, via spliceosome(GO:0008152)	
HUMAN|HGNC=29141|UniProtKB=O94967	WDR47	WD repeat-containing protein 47;WDR47;ortholog			
HUMAN|HGNC=26599|UniProtKB=Q8IWD4	CCDC117	Coiled-coil domain-containing protein 117;CCDC117;ortholog			
HUMAN|HGNC=1103|UniProtKB=P25440	BRD2	Bromodomain-containing protein 2;BRD2;ortholog	acetyltransferase activity(GO:0003824);nucleic acid binding(GO:0016740);chromatin binding(GO:0016746)	transcription from RNA polymerase II promoter(GO:0008152);cellular process(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=3313|UniProtKB=Q12926	ELAVL2	ELAV-like protein 2;ELAVL2;ortholog			
HUMAN|HGNC=13727|UniProtKB=Q96S59	RANBP9	Ran-binding protein 9;RANBP9;ortholog	transmembrane transporter activity(GO:0005215)	intracellular protein transport(GO:0051179);nuclear transport(GO:0006810)	
HUMAN|HGNC=11824|UniProtKB=Q9BSI4	TINF2	TERF1-interacting nuclear factor 2;TINF2;ortholog			
HUMAN|HGNC=1473|UniProtKB=P27824	CANX	Calnexin;CANX;ortholog	calcium ion binding(GO:0005488)	protein folding(GO:0008152);intracellular protein transport(GO:0044238);exocytosis(GO:0019538)	
HUMAN|HGNC=9379|UniProtKB=O43741	PRKAB2	5'-AMP-activated protein kinase subunit beta-2;PRKAB2;ortholog	kinase activity(GO:0003824);protein binding(GO:0016740);kinase regulator activity(GO:0016301)	immune system process(GO:0002376);gluconeogenesis(GO:0008152);cholesterol metabolic process(GO:0044238);protein phosphorylation(GO:0005975);response to stress(GO:0005996);regulation of catalytic activity(GO:0006094)	
HUMAN|HGNC=10311|UniProtKB=Q02543	RPL18A	60S ribosomal protein L18a;RPL18A;ortholog			
HUMAN|HGNC=10581|UniProtKB=Q9UQR0	SCML2	Sex comb on midleg-like protein 2;SCML2;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700);chromatin binding(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152);cell cycle(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	
HUMAN|HGNC=29062|UniProtKB=Q86YS7	C2CD5	C2 domain-containing protein 5;C2CD5;ortholog	lipid binding(GO:0005488)		membrane(GO:0016020);cell part(GO:0044464)
HUMAN|HGNC=23410|UniProtKB=Q969X1	TMBIM1	Protein lifeguard 3;TMBIM1;ortholog		apoptotic process(GO:0006915);apoptotic process(GO:0032502);negative regulation of apoptotic process(GO:0016265)	
HUMAN|HGNC=18282|UniProtKB=Q96KB5	PBK	Lymphokine-activated killer T-cell-originated protein kinase;PBK;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cellular process(GO:0044238)	
HUMAN|HGNC=25525|UniProtKB=Q9BTX1	NDC1	Nucleoporin NDC1;NDC1;ortholog			
HUMAN|HGNC=12563|UniProtKB=P11172	UMPS	Uridine 5'-monophosphate synthase;UMPS;ortholog			
HUMAN|HGNC=14626|UniProtKB=Q96FF9	CDCA5	Sororin;CDCA5;ortholog			
HUMAN|HGNC=33499|UniProtKB=Q8WXE1	ATRIP	ATR-interacting protein;ATRIP;ortholog			
HUMAN|HGNC=2559|UniProtKB=P78310	CXADR	Coxsackievirus and adenovirus receptor;CXADR;ortholog		cellular process(GO:0009987)	
HUMAN|HGNC=11056|UniProtKB=P48067	SLC6A9	Sodium- and chloride-dependent glycine transporter 1;SLC6A9;ortholog	cation transmembrane transporter activity(GO:0005215)	cation transport(GO:0051179);extracellular transport(GO:0006810)	
HUMAN|HGNC=26559|UniProtKB=Q5T4F4	ZFYVE27	Protrudin;ZFYVE27;ortholog			
HUMAN|HGNC=7136|UniProtKB=P42568	MLLT3	Protein AF-9;MLLT3;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700);chromatin binding(GO:0005488)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=19369|UniProtKB=Q8NEY8	PPHLN1	Periphilin-1;PPHLN1;ortholog			
HUMAN|HGNC=4425|UniProtKB=Q08379	GOLGA2	Golgin subfamily A member 2;GOLGA2;ortholog			
HUMAN|HGNC=1913|UniProtKB=P18754	RCC1	Regulator of chromosome condensation;RCC1;ortholog	catalytic activity(GO:0003824);nucleic acid binding(GO:0005488);chromatin binding(GO:0003676);protein binding(GO:0003682);small GTPase regulator activity(GO:0005515);guanyl-nucleotide exchange factor activity(GO:0030234)	nucleobase-containing compound metabolic process(GO:0008152);mitosis(GO:0044238);nucleobase-containing compound transport(GO:0006139);regulation of catalytic activity(GO:0009987)	
HUMAN|HGNC=23721|UniProtKB=Q7Z2W4	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1;ZC3HAV1;ortholog	nucleic acid binding(GO:0005488)	nucleobase-containing compound metabolic process(GO:0008152)	
HUMAN|HGNC=13450|UniProtKB=Q8N9N5	BANP	Protein BANP;BANP;ortholog			
HUMAN|HGNC=30528|UniProtKB=Q96DA6	DNAJC19	Mitochondrial import inner membrane translocase subunit TIM14;DNAJC19;ortholog			
HUMAN|HGNC=15480|UniProtKB=Q9NSV4	DIAPH3	Protein diaphanous homolog 3;DIAPH3;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	cellular component movement(GO:0009987)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=22421|UniProtKB=Q9BRJ6	C7orf50	Uncharacterized protein C7orf50;C7orf50;ortholog			
HUMAN|HGNC=372|UniProtKB=Q9Y2D5	AKAP2	A-kinase anchor protein 2;AKAP2;ortholog		cellular process(GO:0009987)	
HUMAN|HGNC=4516|UniProtKB=Q8IZP9	GPR64	G-protein coupled receptor 64;GPR64;ortholog	G-protein coupled receptor activity(GO:0004872)	spermatogenesis(GO:0000003);immune response(GO:0007276);synaptic transmission(GO:0007283);neurotransmitter secretion(GO:0002376);mesoderm development(GO:0006955);heart development(GO:0009987);response to stress(GO:0007154);intracellular protein transport(GO:0007267);synaptic vesicle exocytosis(GO:0007268)	
HUMAN|HGNC=14436|UniProtKB=Q70E73	RAPH1	Ras-associated and pleckstrin homology domains-containing protein 1;RAPH1;ortholog			
HUMAN|HGNC=14245|UniProtKB=O95149	SNUPN	Snurportin-1;SNUPN;ortholog		nucleobase-containing compound metabolic process(GO:0008152);nucleobase-containing compound transport(GO:0044238)	
HUMAN|HGNC=10336|UniProtKB=P62910	RPL32	60S ribosomal protein L32;RPL32;ortholog			ribosome(GO:0032991);organelle(GO:0030529);cytosol(GO:0005840)
HUMAN|HGNC=13583|UniProtKB=Q9UKT5	FBXO4	F-box only protein 4;FBXO4;ortholog			
HUMAN|HGNC=9137|UniProtKB=Q06265	EXOSC9	Exosome complex component RRP45;EXOSC9;ortholog	exoribonuclease activity(GO:0003824);nucleic acid binding(GO:0016787)	rRNA metabolic process(GO:0008152)	
HUMAN|HGNC=26176|UniProtKB=Q9H6H4	REEP4	Receptor expression-enhancing protein 4;REEP4;ortholog	receptor activity(GO:0004872);transmembrane transporter activity(GO:0005215)	carbohydrate metabolic process(GO:0008152);carbohydrate transport(GO:0044238)	
HUMAN|HGNC=6866|UniProtKB=O95819	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4;MAP4K4;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell communication(GO:0044238);response to stimulus(GO:0019538);regulation of biological process(GO:0006464)	intracellular(GO:0044464)
HUMAN|HGNC=29214|UniProtKB=Q3KR37	GRAMD1B	GRAM domain-containing protein 1B;GRAMD1B;ortholog			
HUMAN|HGNC=3522|UniProtKB=O95677	EYA4	Eyes absent homolog 4;EYA4;ortholog			
HUMAN|HGNC=1515|UniProtKB=P20810	CAST	Calpastatin;CAST;ortholog	cysteine-type peptidase activity(GO:0003824);protein binding(GO:0016787);cysteine-type endopeptidase inhibitor activity(GO:0008233)	proteolysis(GO:0008152);regulation of catalytic activity(GO:0044238)	
HUMAN|HGNC=4141|UniProtKB=P04406	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase;GAPDH;ortholog	oxidoreductase activity(GO:0003824)	glycolysis(GO:0008152);glycolysis(GO:0006091)	
HUMAN|HGNC=15852|UniProtKB=Q8N6T3	ARFGAP1	ADP-ribosylation factor GTPase-activating protein 1;ARFGAP1;ortholog	catalytic activity(GO:0003824);nucleic acid binding(GO:0005488);protein binding(GO:0003676);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);cell communication(GO:0009987);cell adhesion(GO:0007154);regulation of catalytic activity(GO:0022610)	
HUMAN|HGNC=24812|UniProtKB=Q5HYI7	MTX3	Metaxin-3;MTX3;ortholog			
HUMAN|HGNC=70|UniProtKB=Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1;ABCF1;ortholog	ATPase activity, coupled to transmembrane movement of substances(GO:0003824);transmembrane transporter activity(GO:0016787);translation elongation factor activity(GO:0042626);translation elongation factor activity(GO:0005215);translation elongation factor activity(GO:0022857)	translation(GO:0008152);transport(GO:0044238);regulation of translation(GO:0019538)	
HUMAN|HGNC=1990|UniProtKB=Q8WWK9	CKAP2	Cytoskeleton-associated protein 2;CKAP2;ortholog			
HUMAN|HGNC=17853|UniProtKB=Q9P2D0	IBTK	Inhibitor of Bruton tyrosine kinase;IBTK;ortholog			
HUMAN|HGNC=3236|UniProtKB=P00533	EGFR	Epidermal growth factor receptor;EGFR;ortholog		apoptotic process(GO:0006915);cell proliferation(GO:0009987);cell-cell adhesion(GO:0008283);apoptotic process(GO:0022610);nervous system development(GO:0007155)	
HUMAN|HGNC=19205|UniProtKB=Q9P246	STIM2	Stromal interaction molecule 2;STIM2;ortholog			
HUMAN|HGNC=25622|UniProtKB=Q9NUY8	TBC1D23	TBC1 domain family member 23;TBC1D23;ortholog			
HUMAN|HGNC=28409|UniProtKB=Q9BTE7	DCUN1D5	DCN1-like protein 5;DCUN1D5;ortholog			
HUMAN|HGNC=3123|UniProtKB=O00559	EBAG9	Receptor-binding cancer antigen expressed on SiSo cells;EBAG9;ortholog			
HUMAN|HGNC=7132|UniProtKB=Q03164	KMT2A	Histone-lysine N-methyltransferase 2A;KMT2A;ortholog	methyltransferase activity(GO:0003824);DNA binding(GO:0016740)	nucleobase-containing compound metabolic process(GO:0008152);cellular process(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=25529|UniProtKB=Q6RFH5	WDR74	WD repeat-containing protein 74;WDR74;ortholog	calcium ion binding(GO:0005488);calmodulin binding(GO:0005509);calcium-dependent phospholipid binding(GO:0005515)		
HUMAN|HGNC=9858|UniProtKB=P47736	RAP1GAP	Rap1 GTPase-activating protein 1;RAP1GAP;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);cellular process(GO:0009987);regulation of catalytic activity(GO:0065007)	
HUMAN|HGNC=15594|UniProtKB=Q9UK59	DBR1	Lariat debranching enzyme;DBR1;ortholog	endoribonuclease activity(GO:0003824)	nitrogen compound metabolic process(GO:0008152);RNA splicing, via transesterification reactions(GO:0006807);mRNA processing(GO:0044238);RNA splicing, via transesterification reactions(GO:0006139);cellular process(GO:0016070)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=3271|UniProtKB=Q14152	EIF3A	Eukaryotic translation initiation factor 3 subunit A;EIF3A;ortholog	translation initiation factor activity(GO:0005488);translation initiation factor activity(GO:0003676);translation initiation factor activity(GO:0003723)	translation(GO:0008152);regulation of translation(GO:0044238)	
HUMAN|HGNC=799|UniProtKB=P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1;ATP1A1;ortholog	hydrolase activity(GO:0003824);ion channel activity(GO:0016787);cation transmembrane transporter activity(GO:0005215)	metabolic process(GO:0008152);cation transport(GO:0051179);cellular calcium ion homeostasis(GO:0006810)	
HUMAN|HGNC=7644|UniProtKB=P49321	NASP	Nuclear autoantigenic sperm protein;NASP;ortholog			
HUMAN|HGNC=18896|UniProtKB=Q9H7F4	TMEM185B	Transmembrane protein 185B;TMEM185B;ortholog			
HUMAN|HGNC=17078|UniProtKB=O75122	CLASP2	CLIP-associating protein 2;CLASP2;ortholog	structural molecule activity(GO:0005198)	mitosis(GO:0009987)	
HUMAN|HGNC=16461|UniProtKB=Q9Y2W2	WBP11	WW domain-binding protein 11;WBP11;ortholog			
HUMAN|HGNC=10885|UniProtKB=Q96FS4	SIPA1	Signal-induced proliferation-associated protein 1;SIPA1;ortholog	catalytic activity(GO:0003824);protein binding(GO:0005488);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);cellular process(GO:0009987);cell adhesion(GO:0022610);regulation of catalytic activity(GO:0007155)	
HUMAN|HGNC=25386|UniProtKB=Q6L8Q7	PDE12	2',5'-phosphodiesterase 12;PDE12;ortholog	exoribonuclease activity(GO:0003824);nucleic acid binding(GO:0016787)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=20778|UniProtKB=P07437	TUBB	Tubulin beta chain;TUBB;ortholog	structural constituent of cytoskeleton(GO:0005198)	cell cycle(GO:0009987);anatomical structure morphogenesis(GO:0007049);intracellular protein transport(GO:0032502)	protein complex(GO:0032991);intracellular(GO:0043234)
HUMAN|HGNC=13447|UniProtKB=Q9H2H9	SLC38A1	Sodium-coupled neutral amino acid transporter 1;SLC38A1;ortholog	amino acid transmembrane transporter activity(GO:0005215);cation transmembrane transporter activity(GO:0015171)	cellular process(GO:0009987);response to stimulus(GO:0050896);cation transport(GO:0051179);anion transport(GO:0006810);amino acid transport(GO:0006811)	plasma membrane(GO:0016020);integral to membrane(GO:0005886);organelle(GO:0016021);cytoplasm(GO:0043226)
HUMAN|HGNC=10784|UniProtKB=Q99590	SCAF11	Protein SCAF11;SCAF11;ortholog			
HUMAN|HGNC=11955|UniProtKB=Q8TF68	ZNF384	Zinc finger protein 384;ZNF384;ortholog			
HUMAN|HGNC=33787|UniProtKB=Q5JPI9	METTL10	Methyltransferase-like protein 10;METTL10;ortholog	methyltransferase activity(GO:0003824)	metabolic process(GO:0008152)	
HUMAN|HGNC=7723|UniProtKB=Q8NHV4	NEDD1	Protein NEDD1;NEDD1;ortholog	kinase activity(GO:0003824);hydrolase activity, acting on ester bonds(GO:0016740);mRNA binding(GO:0016301);protein binding(GO:0016787);kinase inhibitor activity(GO:0016788);kinase regulator activity(GO:0005488)	RNA splicing, via transesterification reactions(GO:0008152);transcription from RNA polymerase II promoter(GO:0044238);mRNA splicing, via spliceosome(GO:0006139);RNA splicing, via transesterification reactions(GO:0016070);RNA localization(GO:0000375);regulation of catalytic activity(GO:0006351)	
HUMAN|HGNC=10663|UniProtKB=O60524	NEMF	Nuclear export mediator factor NEMF;NEMF;ortholog			
HUMAN|HGNC=15923|UniProtKB=Q14498	RBM39	RNA-binding protein 39;RBM39;ortholog		neurological system process(GO:0032501);ectoderm development(GO:0044707);nervous system development(GO:0003008)	
HUMAN|HGNC=6038|UniProtKB=Q12906	ILF3	Interleukin enhancer-binding factor 3;ILF3;ortholog	kinase activity(GO:0003824);hydrolase activity(GO:0016740);deaminase activity(GO:0016301);DNA binding(GO:0016787);RNA binding(GO:0019239);protein binding(GO:0005488);kinase activator activity(GO:0003676);kinase regulator activity(GO:0003677)	spermatogenesis(GO:0000003);response to interferon-gamma(GO:0007276);apoptotic process(GO:0007283);purine nucleobase metabolic process(GO:0002376);protein metabolic process(GO:0006955);cell cycle(GO:0034341);neurological system process(GO:0006915);anterior/posterior axis specification(GO:0008152);anterior/posterior axis specification(GO:0044238);apoptotic process(GO:0006139);response to stimulus(GO:0006144);RNA localization(GO:0019538);regulation of catalytic activity(GO:0009987)	
HUMAN|HGNC=17382|UniProtKB=Q7Z6B7	SRGAP1	SLIT-ROBO Rho GTPase-activating protein 1;SRGAP1;ortholog	GTPase activity(GO:0003824);pyrophosphatase activity(GO:0016787);protein binding(GO:0003924);small GTPase regulator activity(GO:0016462);enzyme activator activity(GO:0005488)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cellular component movement(GO:0044238);cell communication(GO:0006139);locomotion(GO:0009987);response to stimulus(GO:0006928);localization(GO:0007154);regulation of nucleobase-containing compound metabolic process(GO:0040011);regulation of phosphate metabolic process(GO:0050896);regulation of catalytic activity(GO:0051179)	intracellular(GO:0044464)
HUMAN|HGNC=21361|UniProtKB=Q5TGL8	PXDC1	PX domain-containing protein 1;PXDC1;ortholog			
